,loss,loss_pde,loss_ortho,loss_lipschitz,loss_sobolev,loss_pde_each0,loss_pde_each1,loss_pde_each2,loss_pde_each3,loss_ortho_each0,loss_ortho_each1,loss_ortho_each2,loss_ortho_each3,loss_lipschitz_each0,loss_lipschitz_each1,loss_lipschitz_each2,loss_lipschitz_each3,loss_sobolev_each0,loss_sobolev_each1,loss_sobolev_each2,loss_sobolev_each3
0,2.7465316454569497,0.5769671400388082,2.1695644855499268,0.0,0.0,0.42573783,0.6398956,0.65137833,0.59085685,0.0,0.14509173,1.0513121,1.696349,0.0,0.0,0.0,0.0,-2.8377368,-3.4455035,-2.754031,-3.1192524
1,2.9884053071339927,1.1450420022010803,1.8433632055918376,0.0,0.0,1.1415612,1.1486077,1.2144195,1.0755796,0.0,0.049958467,0.9690164,1.4388429,0.0,0.0,0.0,0.0,-2.8886528,-3.1350365,-2.9550629,-2.9564998
2,3.053150733311971,1.448521892229716,1.6046287616093953,0.0,0.0,1.3136493,1.4457101,1.5358194,1.498909,0.0,0.016556263,0.8717986,1.2511501,0.0,0.0,0.0,0.0,-2.8469589,-3.1265526,-2.847541,-2.8212888
3,1.8370927572250366,0.2769729048013687,1.5601198275883992,0.0,0.0,0.28575552,0.045415223,0.26014623,0.5165746,0.0,0.04141152,0.7762081,1.2625401,0.0,0.0,0.0,0.0,-2.728315,-3.2876012,-2.7684343,-2.7510958
4,2.324470043182373,0.8155666987101237,1.5089033842086792,0.0,0.0,0.69477934,0.9304543,0.906316,0.7307172,0.0,0.031288546,0.6989625,1.28162,0.0,0.0,0.0,0.0,-2.632487,-3.30708,-2.739216,-2.732402
5,2.874232292175293,1.441288709640503,1.43294362227122,0.0,0.0,1.4534363,1.3648697,1.434886,1.5119629,0.0,0.009421428,0.6136932,1.2874769,0.0,0.0,0.0,0.0,-2.5933354,-3.1237,-2.7906544,-2.7473938
6,2.157906174659729,0.7529979745546976,1.4049082199732463,0.0,0.0,0.9178453,0.5845066,0.6729205,0.83671945,0.0,0.030260762,0.5380833,1.3048668,0.0,0.0,0.0,0.0,-2.6033065,-2.905387,-2.5333774,-2.7704175
7,2.253415822982788,0.8685502807299296,1.3848656018575032,0.0,0.0,0.9044927,0.8922505,0.8204432,0.8570146,0.0,0.031773567,0.500309,1.3144048,0.0,0.0,0.0,0.0,-2.6363046,-2.6250074,-2.328842,-2.7339404
8,2.2576440970102944,0.8979508181413015,1.3596932888031006,0.0,0.0,1.0256099,0.7645475,0.94246364,0.8591822,0.0,0.024757227,0.4642874,1.3238798,0.0,0.0,0.0,0.0,-2.6722515,-2.4741602,-2.2276518,-2.7018807
9,2.3511510690053306,1.0169395009676616,1.3342116276423137,0.0,0.0,0.93913835,1.0566286,1.0238217,1.0481695,0.0,0.021419406,0.421054,1.3364754,0.0,0.0,0.0,0.0,-2.6929624,-2.3678656,-2.1441321,-2.686248
