,train_loss,val_loss,test_loss,test_loss_std,ntest_loss,ntest_loss_std
0,567.1026000976562,0.015286611393094063,0.0017878042999655008,2.3467122689524444e-10,0.00012859397975262254,0.0
1,82.67598724365234,0.007217720616608858,0.0025520084891468287,2.3467122689524444e-10,0.00019420079479459673,1.4666951680952778e-11
2,78.48091888427734,0.007836119271814823,10000000000.0,10000000000.0,10000000000.0,10000000000.0
3,47.30733108520508,0.015889057889580727,10000000000.0,10000000000.0,10000000000.0,10000000000.0
4,32.82045364379883,0.0050761220045387745,0.002204867312684655,2.3467122689524444e-10,0.00016541617515031248,1.4666951680952778e-11
5,21.797060012817383,0.005802038125693798,10000000000.0,10000000000.0,10000000000.0,10000000000.0
6,18.449378967285156,0.005151068791747093,10000000000.0,10000000000.0,10000000000.0,10000000000.0
7,15.52094841003418,0.010904408991336823,10000000000.0,10000000000.0,10000000000.0,10000000000.0
8,15.775124549865723,0.004500336945056915,0.0014219214208424091,0.0,0.00010436709999339655,7.333475840476389e-12
9,15.153365135192871,0.005325215868651867,10000000000.0,10000000000.0,10000000000.0,10000000000.0
10,14.365179061889648,0.004244821611791849,0.001482214778661728,0.0,0.00011243526387261227,7.333475840476389e-12
11,15.557918548583984,0.0041978186927735806,0.001461922307498753,1.1733561344762222e-10,0.00011054716014768928,1.4666951680952778e-11
12,16.144237518310547,0.004083174746483564,0.001737781916745007,1.1733561344762222e-10,0.00013306889741215855,1.4666951680952778e-11
13,11.23651123046875,0.004706681240350008,10000000000.0,10000000000.0,10000000000.0,10000000000.0
14,13.235739707946777,0.0042981598526239395,10000000000.0,10000000000.0,10000000000.0,10000000000.0
15,13.574671745300293,0.007361903320997953,10000000000.0,10000000000.0,10000000000.0,10000000000.0
16,12.10131549835205,0.0048052165657281876,10000000000.0,10000000000.0,10000000000.0,10000000000.0
17,13.31178092956543,0.00487368181347847,10000000000.0,10000000000.0,10000000000.0,10000000000.0
18,9.441184997558594,0.004465584177523851,10000000000.0,10000000000.0,10000000000.0,10000000000.0
19,9.403948783874512,0.004680696874856949,10000000000.0,10000000000.0,10000000000.0,10000000000.0
20,7.546729564666748,0.006336322985589504,10000000000.0,10000000000.0,10000000000.0,10000000000.0
21,9.58450698852539,0.005004663486033678,10000000000.0,10000000000.0,10000000000.0,10000000000.0
22,8.790478706359863,0.007305912673473358,10000000000.0,10000000000.0,10000000000.0,10000000000.0
23,8.826903343200684,0.004810273181647062,10000000000.0,10000000000.0,10000000000.0,10000000000.0
24,8.2075777053833,0.005840976256877184,10000000000.0,10000000000.0,10000000000.0,10000000000.0
25,7.521903038024902,0.006360177416354418,10000000000.0,10000000000.0,10000000000.0,10000000000.0
26,7.639729022979736,0.005751092452555895,10000000000.0,10000000000.0,10000000000.0,10000000000.0
27,8.226476669311523,0.00813300535082817,10000000000.0,10000000000.0,10000000000.0,10000000000.0
28,7.091526508331299,0.004718920681625605,10000000000.0,10000000000.0,10000000000.0,10000000000.0
29,7.4298553466796875,0.005303237121552229,10000000000.0,10000000000.0,10000000000.0,10000000000.0
30,7.42495059967041,0.00611074548214674,10000000000.0,10000000000.0,10000000000.0,10000000000.0
31,6.1843390464782715,0.004714175593107939,10000000000.0,10000000000.0,10000000000.0,10000000000.0
32,7.643533706665039,0.005342838354408741,10000000000.0,10000000000.0,10000000000.0,10000000000.0
33,6.785219669342041,0.005397019907832146,10000000000.0,10000000000.0,10000000000.0,10000000000.0
34,6.773343563079834,0.005478330887854099,10000000000.0,10000000000.0,10000000000.0,10000000000.0
35,9.638978958129883,0.005433492362499237,10000000000.0,10000000000.0,10000000000.0,10000000000.0
36,7.154379844665527,0.005322560202330351,10000000000.0,10000000000.0,10000000000.0,10000000000.0
37,5.593905448913574,0.004780628252774477,10000000000.0,10000000000.0,10000000000.0,10000000000.0
38,5.937421798706055,0.005406904499977827,10000000000.0,10000000000.0,10000000000.0,10000000000.0
39,7.608980655670166,0.005266871303319931,10000000000.0,10000000000.0,10000000000.0,10000000000.0
40,7.608980655670166,0.005266871303319931,0.001737781916745007,1.1733561344762222e-10,0.00013306889741215855,1.4666951680952778e-11
