,loss,loss_pde,loss_ortho,loss_lipschitz,loss_sobolev,loss_pde_each0,loss_pde_each1,loss_pde_each2,loss_pde_each3,loss_pde_each4,loss_pde_each5,loss_pde_each6,loss_pde_each7,loss_ortho_each0,loss_ortho_each1,loss_ortho_each2,loss_ortho_each3,loss_ortho_each4,loss_ortho_each5,loss_ortho_each6,loss_ortho_each7,loss_lipschitz_each0,loss_lipschitz_each1,loss_lipschitz_each2,loss_lipschitz_each3,loss_lipschitz_each4,loss_lipschitz_each5,loss_lipschitz_each6,loss_lipschitz_each7,loss_sobolev_each0,loss_sobolev_each1,loss_sobolev_each2,loss_sobolev_each3,loss_sobolev_each4,loss_sobolev_each5,loss_sobolev_each6,loss_sobolev_each7
63,1.0834791660308838,-1.1251529057820637,2.2086320718129477,0.0,0.0,-1.1977109,-1.2741414,-1.1380507,-1.3669969,-1.0790296,-0.94364166,-1.1133586,-0.8882938,0.0,0.0066864886,0.071153246,0.99689054,0.6011751,1.3598633,1.5999757,1.2539412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9602795,-3.3485928,-3.2535908,-3.4954243,-1.4933323,-2.4168184,-1.9190173,-1.0726943
64,0.5312357346216837,-1.6760917901992798,2.2073275248209634,0.0,0.0,-1.722702,-1.6357731,-1.7967104,-1.815746,-1.4160547,-1.6546407,-1.6582526,-1.7088547,0.0,0.0063963733,0.07083261,0.998686,0.60096085,1.3585836,1.598167,1.2525805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.960804,-3.3517888,-3.253507,-3.4974964,-1.4932022,-2.4158852,-1.9218359,-1.0732211
65,0.7179296414057413,-1.4874700407187145,2.205399672190348,0.0,0.0,-1.552107,-1.3864454,-1.503004,-1.5305969,-1.3458728,-1.5666717,-1.5555081,-1.4595547,0.0,0.005958557,0.069933176,0.9994874,0.6003738,1.3572007,1.5987186,1.2493933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9616573,-3.3554165,-3.2564886,-3.4997756,-1.4945287,-2.4151342,-1.9239674,-1.0735912
66,0.06762437025705974,-2.1361742417017617,2.2037986119588218,0.0,0.0,-2.2317321,-2.1823425,-2.2243102,-2.2511036,-1.8824182,-2.1987,-1.9716288,-2.1471586,0.0,0.0058503547,0.06913642,0.99949247,0.59998053,1.3559192,1.5992056,1.2472115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9623947,-3.3575497,-3.259427,-3.500336,-1.4964288,-2.414382,-1.9260737,-1.0743712
67,0.2652427355448405,-1.9365419149398804,2.2017846504847207,0.0,0.0,-2.1098118,-2.1590579,-1.8353119,-1.9475279,-1.9080191,-2.037289,-1.6053458,-1.8899721,0.0,0.0061344304,0.06836525,0.9992959,0.60009784,1.3545572,1.5991873,1.2437878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9618883,-3.358941,-3.2623825,-3.5000536,-1.4974198,-2.4134948,-1.929228,-1.0744581
68,0.712960441907247,-1.4871665239334106,2.2001269658406577,0.0,0.0,-1.2924868,-1.5894408,-1.3577982,-1.5094701,-1.4125427,-1.6537027,-1.4158005,-1.6660899,0.0,0.0063310466,0.06753758,0.99798036,0.6002453,1.353104,1.6001235,1.2416834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.960982,-3.3565466,-3.265915,-3.4978704,-1.4974627,-2.4124258,-1.932665,-1.0744538
69,1.2484160661697388,-0.9498998920122782,2.1983159383138022,0.0,0.0,-0.63484573,-1.1612352,-0.90483314,-0.962878,-0.86322564,-1.1821965,-0.9780287,-0.911956,0.0,0.0060650506,0.06660072,0.996558,0.60012233,1.3527842,1.6007833,1.2392622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9596195,-3.3550007,-3.2701786,-3.4952438,-1.4973351,-2.4112403,-1.9353701,-1.0709531
70,1.2152820428212483,-0.9820029735565186,2.197285016377767,0.0,0.0,-0.94158316,-1.0381533,-0.91856813,-1.2068411,-0.86149913,-0.95471853,-1.1391965,-0.7954642,0.0,0.006087025,0.06587362,0.9949064,0.601096,1.3525132,1.6020031,1.2369474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9578812,-3.3516529,-3.2758925,-3.4919145,-1.4981956,-2.410163,-1.9355965,-1.0652083
71,0.2483715613683065,-1.9485902786254883,2.196961839993795,0.0,0.0,-1.7990144,-1.7786435,-1.9277662,-2.1613648,-1.5770396,-2.1276991,-2.2506096,-1.9665847,0.0,0.006266912,0.065162145,0.99333555,0.603839,1.3515102,1.6041374,1.234314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.956734,-3.3471034,-3.280859,-3.4884682,-1.5027901,-2.4091346,-1.9351078,-1.0609088
72,0.7626545429229736,-1.4367454846700032,2.199400027592977,0.0,0.0,-1.4251212,-1.4863123,-1.5253681,-1.7340002,-1.0719869,-1.721815,-1.1215593,-1.4078016,0.0,0.006451448,0.064738154,0.99146587,0.60906094,1.3557588,1.6024858,1.2351055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9565086,-3.3420389,-3.2847583,-3.4855614,-1.5043708,-2.4083507,-1.9359299,-1.0580301
73,1.4467951854070027,-0.7537251114845276,2.2005202770233154,0.0,0.0,-0.72192436,-0.7764537,-0.51646334,-0.7462363,-0.7514722,-0.68852115,-0.8503108,-0.978419,0.0,0.0063047013,0.06433085,0.9906306,0.61104935,1.360516,1.6000243,1.2351984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9565208,-3.340462,-3.2876384,-3.4820585,-1.504402,-2.407796,-1.937795,-1.0558568
74,0.5163833697636923,-1.684523383776347,2.200906753540039,0.0,0.0,-1.5721297,-1.6001596,-1.7685245,-1.6506478,-1.7453218,-1.5021887,-1.7647024,-1.8725123,0.0,0.0060777664,0.063915886,0.98930806,0.6133963,1.3635048,1.5988098,1.2340721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9573863,-3.3405628,-3.290572,-3.4776237,-1.5066403,-2.407068,-1.9406404,-1.0545402
75,1.047257383664449,-1.1528780857721965,2.2001354694366455,0.0,0.0,-1.0609175,-1.2772288,-1.131746,-0.9857121,-0.9771158,-1.0904611,-1.3021116,-1.3977319,0.0,0.005729278,0.06301836,0.9881211,0.61485267,1.3651088,1.597634,1.2325635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9582279,-3.3396416,-3.2964513,-3.4777594,-1.5091938,-2.4063394,-1.9402342,-1.0554656
76,1.128737489382426,-1.0706308484077454,2.1993683179219565,0.0,0.0,-1.0894636,-1.1701907,-0.965123,-1.1125045,-0.93030787,-0.92863744,-1.2404128,-1.1284071,0.0,0.0058012404,0.06285111,0.98842365,0.61498594,1.365132,1.595788,1.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9597652,-3.3420665,-3.3014815,-3.481448,-1.5110554,-2.4057274,-1.9394178,-1.0565674
77,0.5458918809890747,-1.6538742780685425,2.199766159057617,0.0,0.0,-1.4898123,-1.6332816,-1.509296,-1.7679058,-1.4476982,-1.8362517,-1.7656077,-1.7811413,0.0,0.0058302083,0.06325921,0.9913826,0.6166842,1.3674598,1.592502,1.2289251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9629319,-3.3555262,-3.3053484,-3.48069,-1.5159882,-2.4051874,-1.9372336,-1.0565361
78,0.13027064005533853,-2.0696656703948975,2.199936310450236,0.0,0.0,-2.089546,-2.1039717,-2.0238478,-2.2526312,-2.0661983,-1.9972314,-2.1394336,-1.8844652,0.0,0.0062421164,0.063503265,0.99136597,0.6180306,1.3709435,1.589692,1.2267193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9669425,-3.365965,-3.3077526,-3.4755414,-1.5203301,-2.4043517,-1.9363486,-1.0556117
79,0.520630935827891,-1.678775171438853,2.199406107266744,0.0,0.0,-1.8487722,-1.68461,-1.4894058,-1.9346997,-1.656991,-1.9729117,-1.4857389,-1.3570725,0.0,0.0063914857,0.0636551,0.9909382,0.61850864,1.3728939,1.5872203,1.225475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9704027,-3.3738508,-3.3095958,-3.468839,-1.5235888,-2.4033618,-1.9368486,-1.0546275
80,-0.14981385072072348,-2.3536245028177896,2.2038106520970664,0.0,0.0,-2.476855,-2.381873,-2.3901327,-2.5036452,-2.2478883,-2.3669941,-2.3043888,-2.1572192,0.0,0.00630486,0.06331233,0.9904907,0.6294273,1.3813511,1.5814209,1.2245213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9717638,-3.3808632,-3.3120792,-3.4644616,-1.5358725,-2.4033308,-1.9384127,-1.0549434
81,-0.05194544792175293,-2.257256348927816,2.205310901006063,0.0,0.0,-2.2725315,-2.1471198,-2.1196804,-2.4208462,-2.129041,-2.4388826,-2.479985,-2.0499642,0.0,0.006017685,0.06290952,0.9898837,0.6343733,1.3872824,1.5781142,1.2222484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9727318,-3.386831,-3.3151245,-3.4594498,-1.5516149,-2.403043,-1.9382815,-1.0557824
82,0.5597755908966064,-1.6468332608540852,2.206608851750692,0.0,0.0,-1.5220485,-1.7611418,-1.7032036,-1.7968534,-1.2245711,-1.7994531,-1.6454874,-1.7219071,0.0,0.0059366226,0.062666334,0.98996043,0.6389659,1.3906112,1.5753633,1.2207866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9720943,-3.3917713,-3.3174274,-3.4555976,-1.5618123,-2.4023526,-1.9380556,-1.056275
83,1.1263614495595295,-1.080420235792796,2.2067817052205405,0.0,0.0,-1.0694336,-1.1413885,-0.9654632,-1.0470691,-1.1485637,-1.0644947,-1.1901807,-1.0167681,0.0,0.0060199895,0.062672734,0.9882887,0.64308435,1.3923445,1.5731927,1.2191483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.970801,-3.3883502,-3.3192093,-3.4514265,-1.572749,-2.4013612,-1.9373783,-1.0569782
84,0.9724099238713583,-1.2334760427474976,2.205885966618856,0.0,0.0,-1.299281,-1.231958,-1.0926186,-1.4807147,-0.856019,-1.1062285,-1.3538756,-1.4471127,0.0,0.0062688985,0.06271553,0.98564833,0.64556307,1.3925608,1.5721384,1.2174674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9699867,-3.3826847,-3.3208644,-3.4473379,-1.5820097,-2.4002817,-1.936992,-1.0579089
85,0.9443975687026978,-1.2592993179957073,2.203696886698405,0.0,0.0,-1.471415,-1.4541698,-1.2705264,-1.1244229,-1.1335412,-1.2665402,-1.2091461,-1.1446329,0.0,0.0062631764,0.062479973,0.98343563,0.645587,1.3913494,1.5717239,1.2156857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9690762,-3.3762531,-3.3226633,-3.4434366,-1.5891052,-2.3992531,-1.9378151,-1.058717
86,0.886455774307251,-1.316726287206014,2.203182061513265,0.0,0.0,-1.3946018,-1.3403955,-1.1893364,-1.4093219,-1.1189654,-1.4831122,-1.288696,-1.3093807,0.0,0.0062228045,0.062413454,0.9798197,0.6455491,1.3892878,1.5723854,1.2194737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.966491,-3.3697433,-3.3230753,-3.4381866,-1.5946144,-2.3985205,-1.9372387,-1.0546731
87,1.1571282943089802,-1.0459426542123158,2.203070958455404,0.0,0.0,-1.0474917,-1.1113424,-1.1185385,-0.9148659,-1.0432297,-1.0079969,-0.9965255,-1.1275505,0.0,0.0063498416,0.062335968,0.9782509,0.644795,1.3880496,1.5727186,1.222356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9650776,-3.3719742,-3.3175564,-3.4324417,-1.5967256,-2.3977156,-1.9365686,-1.0478622
88,1.0622127453486125,-1.1393955945968628,2.201608339945475,0.0,0.0,-1.0294995,-1.1828381,-1.2096821,-1.3378247,-0.910683,-1.1627936,-1.1242455,-1.1575984,0.0,0.0062648454,0.0630376,0.97703266,0.64158267,1.3873653,1.568902,1.2267705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9644554,-3.3736665,-3.299801,-3.4273026,-1.592206,-2.3964374,-1.9374614,-1.042365
