,loss,loss_pde,loss_ortho,loss_lipschitz,loss_sobolev,loss_pde_each0,loss_pde_each1,loss_pde_each2,loss_pde_each3,loss_pde_each4,loss_pde_each5,loss_ortho_each0,loss_ortho_each1,loss_ortho_each2,loss_ortho_each3,loss_ortho_each4,loss_ortho_each5,loss_lipschitz_each0,loss_lipschitz_each1,loss_lipschitz_each2,loss_lipschitz_each3,loss_lipschitz_each4,loss_lipschitz_each5,loss_sobolev_each0,loss_sobolev_each1,loss_sobolev_each2,loss_sobolev_each3,loss_sobolev_each4,loss_sobolev_each5
22,1.518404245376587,-1.0763797561327617,2.5947840213775635,0.0,0.0,-1.0527836,-1.0685657,-1.0057074,-1.2886358,-0.97134465,-1.0712415,0.0,0.01688826,0.32184505,1.130806,1.8676981,1.8523308,0.0,0.0,0.0,0.0,0.0,0.0,-3.931237,-4.1336207,-4.859221,-3.1613114,-3.1851294,-5.322944
23,1.0740310351053874,-1.5035789807637532,2.5776100158691406,0.0,0.0,-1.4792496,-1.3593429,-1.3566786,-1.6010033,-1.473939,-1.7512602,0.0,0.014646411,0.3370993,1.0892296,1.8674773,1.8467678,0.0,0.0,0.0,0.0,0.0,0.0,-3.8968284,-4.0626516,-4.8723717,-3.1036396,-3.151933,-5.4654574
24,1.1178289651870728,-1.4340366125106812,2.551865577697754,0.0,0.0,-1.258902,-1.5434097,-1.4496669,-1.6096102,-1.2500603,-1.4925705,0.0,0.017914494,0.3512056,1.0346016,1.8719848,1.8280245,0.0,0.0,0.0,0.0,0.0,0.0,-3.8174536,-3.9958916,-4.890017,-3.064201,-3.1214828,-5.5789657
25,0.8537501494089762,-1.6455790996551514,2.4993292490641275,0.0,0.0,-1.593167,-1.8228587,-1.547156,-1.8797468,-1.4489855,-1.5815614,0.0,0.013923486,0.3374541,0.9541623,1.8521271,1.8409916,0.0,0.0,0.0,0.0,0.0,0.0,-3.7494767,-4.024238,-4.92244,-3.0512857,-3.0924442,-5.712272
26,0.8089834849039713,-1.6334935824076335,2.442477067311605,0.0,0.0,-1.5521799,-1.7246681,-1.5054178,-1.6599869,-1.6825603,-1.676148,0.0,0.012577176,0.32066047,0.85817176,1.8281746,1.8653702,0.0,0.0,0.0,0.0,0.0,0.0,-3.6903498,-4.0550466,-4.9583964,-3.054865,-3.0646894,-5.7090797
27,0.4606097141901652,-1.9628551403681438,2.423464854558309,0.0,0.0,-1.822455,-1.9366499,-1.82588,-2.0900056,-2.0904317,-2.0117075,0.0,0.0076975026,0.31290832,0.8270171,1.8085036,1.8908032,0.0,0.0,0.0,0.0,0.0,0.0,-3.6407855,-4.076376,-4.9791827,-3.0721347,-3.0397594,-5.4737163
28,1.0209041436513264,-1.3949215412139893,2.415825684865316,0.0,0.0,-1.4201922,-1.2397126,-1.4273101,-1.3176409,-1.3720427,-1.5926303,0.0,0.008517504,0.31610945,0.82287854,1.7965755,1.8875704,0.0,0.0,0.0,0.0,0.0,0.0,-3.6099007,-4.104656,-4.9292355,-3.0842783,-3.0141413,-5.260231
29,0.733920176823934,-1.6515228748321533,2.3854430516560874,0.0,0.0,-1.5998234,-1.6697212,-1.6477752,-1.6624454,-1.7015957,-1.6277763,0.0,0.012178143,0.31594422,0.8075554,1.7777563,1.8574516,0.0,0.0,0.0,0.0,0.0,0.0,-3.5745876,-4.112686,-4.8577514,-3.0852983,-2.9922454,-5.1265244
30,0.5858656565348307,-1.7537797292073567,2.3396453857421875,0.0,0.0,-1.8314152,-1.6700395,-1.5335449,-2.007987,-1.7626371,-1.7170544,0.0,0.010844271,0.29556823,0.8087968,1.7340355,1.8300457,0.0,0.0,0.0,0.0,0.0,0.0,-3.581398,-4.108501,-4.7476106,-3.0747063,-2.980088,-4.9273324
31,1.431308110555013,-0.8576584731539091,2.2889665762583413,0.0,0.0,-0.86814064,-0.8616529,-0.8477959,-1.0433418,-0.7401212,-0.7848985,0.0,0.01010859,0.26626217,0.8286858,1.6777357,1.7951407,0.0,0.0,0.0,0.0,0.0,0.0,-3.6550639,-4.0991898,-4.6472297,-3.0541468,-2.9734542,-4.7395177
